Rank;Pos;Player;Team;Bye;Pts;Upside;ADP;VBD;Games;Pts/G;Age;Drafted;Wk 1;Wk 2;Wk 3;Wk 4;Wk 5;Wk 6;Wk 7;Wk 8;Wk 9;Wk 10;Wk 11;Wk 12;Wk 13;Wk 14;Wk 15;Wk 16;Wk 17;Notes
2;QB1;Joe Burrow;CIN;9;299.09;346.91;76;320.40;15.70;18.69;23;1;16.11;19.35;17.63;19.35;14.91;18.28;19.35;18.65;0.00;16.53;20.22;22.42;21.89;18.65;16.53;21.63;14.91;rookie
9;QB2;Tua Tagovailoa;MIA;11;197.61;227.07;168;206.62;10.50;12.24;22;1;9.56;9.99;13.41;12.60;10.72;10.50;11.17;11.65;15.40;13.80;0.00;13.80;14.10;12.55;9.56;15.44;9.99;rookie, UPS
19;QB3;Justin Herbert;LAC;10;106.42;121.12;178;105.54;7.00;6.53;22;1;7.28;6.47;5.73;6.79;6.55;7.12;7.83;6.92;7.97;0.00;5.42;5.16;4.93;6.78;7.97;5.42;6.47;rookie, UPS
36;QB4;Jalen Hurts;PHI;9;34.60;38.82;180;26.70;3.00;2.09;22;2;2.26;1.88;2.28;1.73;1.85;1.67;2.51;2.09;0.00;2.51;2.16;2.03;1.87;2.05;2.49;2.09;2.26;rookie, UPS
49;QB5;Jake Fromm;BUF;11;11.85;12.83;11;1.78;2.00;0.69;22;5;0.77;0.85;0.65;0.86;0.72;0.70;0.77;0.53;0.70;0.86;0.00;0.62;0.60;0.64;0.59;0.53;0.85;rookie
52;QB6;Jordan Love;GB;5;10.89;11.74;181;0.73;2.00;0.63;21;1;0.57;0.76;0.63;0.65;0.00;0.65;0.75;0.57;0.53;0.67;0.63;0.57;0.61;0.76;0.55;0.64;0.57;rookie
116;QB7;James Morgan;NYJ;11;9.45;10.05;75;-0.88;2.00;0.54;23;4;0.44;0.47;0.55;0.46;0.67;0.49;0.44;0.55;0.42;0.66;0.00;0.66;0.67;0.55;0.51;0.59;0.42;rookie
117;QB8;Cole McDonald;TEN;7;9.13;9.73;81;-1.20;2.00;0.52;22;7;0.44;0.57;0.49;0.48;0.42;0.63;0.00;0.60;0.48;0.53;0.44;0.53;0.57;0.57;0.65;0.49;0.63;rookie
154;QB9;Jacob Eason;IND;7;0.00;0.00;147;-10.73;0.00;0.00;22;4;;;;;;;;;;;;;;;;;;rookie
181;QB9;Ben DiNucci;DAL;10;0.00;0.00;148;-10.73;0.00;0.00;?;7;;;;;;;;;;;;;;;;;;rookie
182;QB9;Anthony Gordon;SEA;6;0.00;0.00;149;-10.73;0.00;0.00;?;u;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;rookie
183;QB9;Jake Luton;JAX;7;0.00;0.00;150;-10.73;0.00;0.00;?;6;;;;;;;;;;;;;;;;;;rookie
184;QB9;Steven Montez;WAS;8;0.00;0.00;151;-10.73;0.00;0.00;23;u;;;;;;;;;;;;;;;;;;rookie
185;QB9;Shea Patterson;FA;?;0.00;0.00;152;-10.73;0.00;0.00;23;u;;;;;;;;;;;;;;;;;;rookie
186;QB9;Nate Stanley;MIN;7;0.00;0.00;153;-10.73;0.00;0.00;22;7;;;;;;;;;;;;;;;;;;rookie
187;QB9;Tommy Stevens;NO;6;0.00;0.00;154;-10.73;0.00;0.00;?;7;;;;;;;;;;;;;;;;;;rookie
188;QB9;Case Cookus;NYG;11;0.00;0.00;155;-10.73;0.00;0.00;24;u;;;;;;;;;;;;;;;;;;rookie
189;QB9;Kevin Davidson;CLE;9;0.00;0.00;156;-10.73;0.00;0.00;?;u;;;;;;;;;;;;;;;;;;rookie
190;QB9;Tyler Huntley;BAL;8;0.00;0.00;157;-10.73;0.00;0.00;22;u;;;;;;;;;;;;;;;;;;rookie
191;QB9;Brian Lewerke;NE;6;0.00;0.00;158;-10.73;0.00;0.00;23;u;;;;;;;;;;;;;;;;;;rookie
192;QB9;Josh Love;LAR;9;0.00;0.00;159;-10.73;0.00;0.00;?;u;;;;;;;;;;;;;;;;;;rookie
193;QB9;Riley Neal;DEN;8;0.00;0.00;160;-10.73;0.00;0.00;?;u;;;;;;;;;;;;;;;;;;rookie
194;QB9;Bryce Perkins;LAR;9;0.00;0.00;161;-10.73;0.00;0.00;?;u;;;;;;;;;;;;;;;;;;rookie
195;QB9;Reid Sinnett;TB;13;0.00;0.00;162;-10.73;0.00;0.00;?;u;;;;;;;;;;;;;;;;;;rookie
196;QB9;JMar Smith;NE;6;0.00;0.00;163;-10.73;0.00;0.00;?;u;;;;;;;;;;;;;;;;;;rookie
197;QB9;Nick Tiano;HOU;8;0.00;0.00;164;-10.73;0.00;0.00;?;u;;;;;;;;;;;;;;;;;;rookie
198;QB9;Kelly Bryant;FA;?;0.00;0.00;165;-10.73;0.00;0.00;23;u;;;;;;;;;;;;;;;;;;rookie
