Rank;Pos;Player;Team;Bye;Pts;Upside;ADP;VBD;Games;Pts/G;Age;Drafted;Wk 1;Wk 2;Wk 3;Wk 4;Wk 5;Wk 6;Wk 7;Wk 8;Wk 9;Wk 10;Wk 11;Wk 12;Wk 13;Wk 14;Wk 15;Wk 16;Wk 17;Notes
1;RB1;Christian McCaffrey;CAR;13;277.27;319.52;1;165.73;15.00;17.21;24;1;19.32;12.30;19.65;18.59;15.22;18.73;14.84;15.22;20.41;12.30;20.78;16.19;0.00;15.41;19.04;21.21;14.84;LASTCHANCE
3;RB3;Saquon Barkley;NYG;11;240.15;276.38;2;128.61;15.00;14.89;23;1;13.10;15.94;10.70;14.87;16.41;18.05;13.31;10.47;18.05;13.31;0.00;17.81;15.61;15.82;17.59;13.16;16.41;LASTCHANCE
2;RB2;Ezekiel Elliott;DAL;10;241.91;278.27;3;130.37;15.00;15.00;24;1;15.01;13.08;15.76;17.76;15.68;15.97;18.23;13.44;13.23;0.00;13.91;18.23;13.28;17.98;10.80;13.44;15.68;MISC, LASTCHANCE
9;RB9;Alvin Kamara;NO;6;205.34;235.71;6;93.79;14.90;12.70;24;3;9.20;14.45;14.24;15.54;14.70;0.00;17.09;14.01;9.20;9.40;11.38;11.52;11.38;11.70;15.27;12.11;17.09;LASTCHANCE
5;RB5;Dalvin Cook;MIN;7;227.16;260.64;5;115.62;14.80;14.05;24;2;14.50;12.56;14.71;14.86;13.96;11.59;0.00;14.50;15.82;14.27;14.68;17.40;17.73;9.37;14.27;11.30;15.82;MISC, LASTCHANCE
8;RB8;Joe Mixon;CIN;9;209.34;240.35;10;97.79;14.90;12.95;23;2;13.67;14.38;10.88;16.20;10.75;11.48;14.38;13.44;0.00;10.71;14.75;12.70;13.99;13.41;10.71;13.57;10.75;LASTCHANCE
6;RB6;Nick Chubb;CLE;9;218.55;251.33;8;107.01;15.00;13.54;24;2;11.33;15.34;15.54;14.13;12.09;11.28;15.34;14.16;0.00;14.30;11.46;17.06;14.15;11.33;13.37;13.09;11.28;LASTCHANCE
14;RB12;Miles Sanders;PHI;9;192.79;221.47;13;81.25;15.00;11.93;23;2;14.14;11.64;13.95;8.38;10.26;10.30;12.16;12.85;0.00;12.16;13.78;12.22;12.69;9.89;12.39;12.85;14.14;LASTCHANCE
7;RB7;Josh Jacobs;LV;6;216.22;248.38;12;104.67;14.90;13.38;22;1;17.08;11.09;11.50;13.71;15.26;0.00;9.20;15.45;14.69;11.52;15.26;11.38;13.36;12.34;14.69;15.04;11.52;LASTCHANCE
4;RB4;Derrick Henry;TEN;7;233.27;268.35;4;121.73;15.00;14.46;26;2;11.98;18.11;12.59;11.97;14.26;15.18;0.00;16.28;14.57;12.83;12.02;12.83;16.07;18.11;16.16;14.81;15.18;LASTCHANCE
