Rank;Pos;Player;Team;Bye;Pts;Upside;ADP;VBD;Games;Pts/G;Age;Drafted;Wk 1;Wk 2;Wk 3;Wk 4;Wk 5;Wk 6;Wk 7;Wk 8;Wk 9;Wk 10;Wk 11;Wk 12;Wk 13;Wk 14;Wk 15;Wk 16;Wk 17;Notes
36;TE2;George Kittle;SF;11;146.48;166.72;24;48.26;15.00;8.98;26;5;12.28;7.02;9.40;7.56;8.54;8.48;8.23;9.62;8.43;8.09;0.00;8.48;6.61;9.59;10.66;12.28;9.62;
25;TE1;Travis Kelce;KC;10;157.04;178.94;18;58.82;15.00;9.64;30;3;10.19;8.76;7.82;10.03;11.83;8.06;10.11;8.56;8.21;0.00;11.83;10.72;10.11;10.41;9.86;8.63;8.76;LASTCHANCE
86;TE7;Evan Engram;NYG;11;102.34;114.75;69;4.11;14.80;6.18;25;1;5.86;7.65;5.08;5.85;7.36;6.62;5.22;6.07;6.62;5.22;0.00;5.67;6.64;8.47;6.35;4.43;7.36;
58;TE4;Zach Ertz;PHI;9;122.32;138.72;50;24.10;15.00;7.47;29;2;7.92;7.00;6.78;6.07;7.01;5.30;7.77;8.80;0.00;7.77;7.60;7.94;6.96;6.68;10.14;8.80;7.92;
41;TE3;Mark Andrews;BAL;8;138.32;157.28;41;40.10;15.00;8.47;24;3;8.81;8.01;9.02;9.18;7.86;7.24;8.13;0.00;8.10;7.88;9.46;8.13;10.20;8.81;7.75;9.00;7.86;
118;TE8;Hunter Henry;LAC;10;96.74;108.58;83;-1.49;14.90;5.85;25;2;5.89;6.76;4.83;6.31;5.80;5.04;6.13;5.81;6.97;0.00;5.95;4.75;5.91;5.08;6.97;5.95;6.76;
119;TE9;T.J. Hockenson;DET;5;95.60;107.52;127;-2.62;15.00;5.80;23;1;7.23;5.49;8.01;5.28;0.00;5.28;4.62;5.52;4.83;6.25;4.40;5.45;7.23;5.49;6.45;5.74;4.83;INJ
77;TE5;Darren Waller;LV;6;111.28;125.89;65;13.06;15.00;6.78;27;6;5.72;6.87;6.99;5.62;8.00;0.00;7.47;7.81;6.11;7.04;8.00;6.01;5.96;7.19;6.11;7.25;7.04;
138;TE15;Noah Fant;DEN;8;85.54;95.58;117;-12.69;14.90;5.15;22;1;6.26;5.38;5.57;4.45;5.22;5.41;5.97;0.00;4.49;6.15;4.56;5.13;5.97;4.27;4.19;4.56;6.15;
137;TE14;Dallas Goedert;PHI;9;86.32;96.83;140;-11.90;15.00;5.22;25;2;5.53;4.89;4.74;4.24;4.90;3.70;5.43;6.15;0.00;5.43;5.31;5.55;4.86;4.67;7.08;6.15;5.53;UPS
84;TE6;David Njoku;CLE;6;102.64;115.84;99;4.42;15.00;6.24;33;3;6.72;7.42;6.44;6.18;5.49;0.00;5.15;8.47;6.72;5.62;5.41;6.34;5.41;5.78;7.20;5.65;5.15;
273;TE25;O.J. Howard;TB;13;63.75;70.05;194;-34.48;14.80;3.77;25;1;3.70;3.08;3.80;3.29;5.07;3.85;4.44;4.30;3.70;3.08;3.88;4.31;0.00;3.39;3.24;3.70;3.24;
132;TE12;Mike Gesicki;MIA;11;87.92;98.69;135;-10.30;15.00;5.32;24;2;5.24;4.21;5.16;6.12;4.68;5.28;4.58;5.40;7.81;4.47;0.00;4.47;5.23;6.00;5.24;6.18;4.21;
139;TE16;Jonnu Smith;TEN;7;82.16;92.16;167;-16.06;15.00;4.96;24;3;5.01;4.89;4.47;5.13;4.00;5.05;0.00;4.96;6.70;5.11;3.88;5.11;5.56;4.89;4.89;5.09;5.05;
127;TE11;Tyler Higbee;LAR;9;91.12;102.40;98;-7.10;15.00;5.52;27;4;6.62;4.70;4.11;5.85;5.96;4.57;6.89;5.31;0.00;5.98;5.47;4.57;7.63;5.12;4.36;5.98;7.63;
122;TE10;Rob Gronkowski;TB;13;94.58;97.89;80;-3.65;12.20;5.27;31;2;5.17;4.31;5.30;4.60;7.09;5.38;6.20;6.01;5.17;4.31;5.42;6.02;0.00;4.73;4.53;5.17;4.53;
134;TE13;Hayden Hurst;ATL;10;86.96;97.60;121;-11.26;15.00;5.26;26;1;5.93;6.57;6.84;5.20;4.16;4.56;4.99;4.16;5.12;0.00;4.99;5.99;4.99;4.44;5.43;5.81;5.43;
84;TE6;Jared Cook;NO;6;102.64;115.84;99;4.42;15.00;6.24;33;3;6.72;7.42;6.44;6.18;5.49;0.00;5.15;8.47;6.72;5.62;5.41;6.34;5.41;5.78;7.20;5.65;5.15;
275;TE26;Irv Smith;MIN;7;62.93;69.76;-;-35.29;15.00;3.76;21;2;3.58;3.60;4.21;3.56;4.09;3.01;0.00;3.58;3.44;4.72;4.53;2.87;3.45;3.74;4.72;3.44;3.44;
289;TE30;Will Dissly;SEA;6;58.46;60.16;-;-39.76;13.30;3.24;24;4;2.64;3.07;3.98;3.19;2.76;0.00;4.58;2.74;2.47;3.16;4.58;2.82;3.51;2.62;3.58;3.16;2.74;INJ
145;TE17;Austin Hooper;CLE;9;80.40;90.02;118;-17.82;15.00;4.85;25;3;3.71;4.75;5.54;6.16;4.89;4.90;4.75;5.61;0.00;4.83;4.37;4.68;5.71;3.71;5.43;4.06;4.90;
161;TE18;Jack Doyle;IND;7;75.12;83.84;161;-23.10;15.00;4.52;30;u;4.28;3.91;3.71;5.86;4.87;4.34;0.00;4.28;3.39;5.23;4.45;5.23;4.42;5.13;4.42;4.49;4.28;
162;TE19;Greg Olsen;SEA;6;75.02;80.26;200;-23.21;14.00;4.32;35;1;3.52;4.09;5.30;4.25;3.68;0.00;6.10;3.66;3.29;4.21;6.10;3.76;4.67;3.49;4.76;4.21;3.66;
167;TE20;Eric Ebron;PIT;8;74.50;82.75;157;-23.73;14.90;4.46;27;1;5.04;4.45;4.48;5.30;4.05;4.93;3.44;0.00;5.71;4.40;4.34;3.44;5.14;3.54;4.40;4.54;4.93;
180;TE21;Chris Herndon;NYJ;11;69.21;75.04;187;-29.02;14.50;4.05;24;4;3.13;3.48;4.01;3.93;5.82;3.41;3.13;4.47;3.90;4.05;0.00;4.05;4.60;4.56;4.02;4.36;3.90;
181;TE22;Blake Jarwin;DAL;10;68.72;76.42;185;-29.50;15.00;4.12;26;u;4.10;3.43;4.65;4.45;4.55;5.94;4.64;3.66;4.11;0.00;3.58;4.64;3.10;3.97;3.56;3.66;4.55;
193;TE23;Gerald Everett;LAR;9;65.52;72.83;-;-32.70;15.00;3.92;26;2;4.71;3.34;2.92;4.15;4.24;3.25;4.90;3.77;0.00;4.25;3.89;3.25;5.42;3.64;3.10;4.25;5.42;
198;TE24;Ian Thomas;CAR;13;64.88;72.06;197;-33.34;15.00;3.88;24;4;4.32;3.92;3.20;5.47;3.16;4.94;3.60;3.16;4.20;3.92;3.60;3.30;0.00;3.70;3.75;4.27;3.60;
279;TE27;Kyle Rudolph;MIN;7;59.92;66.37;-;-38.31;15.00;3.58;30;2;3.41;3.43;4.01;3.39;3.90;2.87;0.00;3.41;3.28;4.49;4.32;2.73;3.28;3.57;4.49;3.28;3.28;
281;TE27;Dawson Knox;BUF;11;59.92;66.50;-;-38.31;15.00;3.58;23;3;2.92;3.55;3.52;4.03;4.11;3.92;2.92;3.42;4.00;5.10;0.00;2.99;3.05;3.53;3.45;3.42;3.55;
285;TE29;Jace Sternberger;GB;5;59.42;65.89;-;-38.81;15.00;3.55;?;3;3.23;3.53;3.53;3.09;0.00;3.84;3.65;3.23;3.21;3.54;3.70;4.84;3.30;3.53;2.94;4.32;4.84;
293;TE31;Tyler Eifert;JAX;7;57.40;60.00;-;-40.83;13.70;3.23;29;1;3.22;3.76;3.25;3.12;3.18;3.08;0.00;2.74;3.18;3.20;3.23;3.50;2.81;3.76;2.44;4.22;3.22;
295;TE32;C.J. Uzomah;CIN;9;52.32;57.70;-;-45.90;14.90;3.11;27;5;2.60;3.33;2.73;2.93;2.32;3.06;3.33;3.58;0.00;3.07;3.47;3.40;3.09;3.85;3.07;3.02;2.32;
299;TE33;Darren Fells;HOU;8;49.88;55.23;-;-48.35;15.00;2.98;34;u;3.30;2.25;2.97;2.59;2.84;3.46;2.95;0.00;2.84;3.22;2.88;2.83;2.97;3.88;2.97;2.88;3.46;
303;TE34;Jimmy Graham;CHI;11;49.38;54.88;-;-48.85;15.00;2.95;33;3;2.93;3.41;2.57;3.07;3.19;2.44;3.07;2.93;3.58;2.68;0.00;3.05;2.93;3.03;2.68;2.93;3.05;
306;TE35;Nick Boyle;BAL;8;44.86;49.79;-;-53.37;15.00;2.68;27;5;2.79;2.54;2.86;2.91;2.49;2.29;2.57;0.00;2.57;2.50;3.00;2.57;3.23;2.79;2.46;2.85;2.49;
