Rank;Pos;Player;Team;Bye;Pts;Upside;ADP;VBD;Games;Pts/G;Age;Drafted;Wk 1;Wk 2;Wk 3;Wk 4;Wk 5;Wk 6;Wk 7;Wk 8;Wk 9;Wk 10;Wk 11;Wk 12;Wk 13;Wk 14;Wk 15;Wk 16;Wk 17;Notes
11;WR1;Michael Thomas;NO;6;189.60;219.94;7;71.84;15.80;11.85;27;2;14.19;12.44;11.16;14.22;10.35;0.00;12.08;9.68;14.19;10.52;11.40;10.49;11.40;12.67;10.21;13.49;12.08;LASTCHANCE
13;WR2;Tyreek Hill;KC;10;186.72;216.54;11;68.96;15.80;11.67;26;5;12.39;10.23;11.48;9.06;12.30;10.22;10.37;13.31;11.95;0.00;12.30;14.03;10.37;14.37;12.07;11.28;10.23;LASTCHANCE
30;WR8;DeAndre Hopkins;ARI;8;166.69;191.94;14;48.93;15.50;10.34;28;1;9.19;10.25;12.43;10.56;11.77;9.23;10.26;0.00;12.70;9.04;10.26;8.01;9.94;11.85;11.08;9.19;9.94;LASTCHANCE
15;WR3;Davante Adams;GB;5;181.54;210.05;9;63.78;15.70;11.32;27;2;12.36;13.03;11.19;10.45;0.00;13.01;11.49;12.36;9.64;10.18;11.05;8.87;11.61;13.03;11.07;11.07;8.87;LASTCHANCE
28;WR7;Chris Godwin;TB;13;167.20;194.08;21;49.44;15.90;10.45;24;3;10.86;10.75;9.33;9.21;8.61;9.93;11.07;12.06;10.86;10.75;10.12;9.08;0.00;12.00;10.15;12.65;10.15;LASTCHANCE
56;WR20;JuJu Smith-Schuster;PIT;8;144.85;164.26;42;27.09;15.00;8.85;23;2;10.37;8.02;9.59;9.24;9.69;8.60;8.88;0.00;8.07;8.68;8.50;8.88;8.97;7.91;8.68;9.23;8.60;
45;WR13;D.J. Moore;CAR;13;152.96;177.41;36;35.20;15.80;9.56;23;1;9.99;11.39;8.31;9.71;9.16;7.77;9.81;9.16;8.20;11.39;11.42;10.83;0.00;8.42;8.96;9.41;9.81;
24;WR6;Mike Evans;TB;13;170.40;197.54;23;52.64;15.80;10.65;26;1;11.06;10.95;9.50;9.38;8.77;10.11;11.27;12.28;11.06;10.95;10.30;9.25;0.00;12.22;10.33;12.89;10.33;LASTCHANCE
38;WR10;Amari Cooper;DAL;10;159.50;181.73;27;41.74;15.10;9.79;26;1;9.41;9.44;9.71;9.30;11.22;10.01;9.70;10.49;9.15;0.00;11.16;9.70;9.61;9.39;8.70;10.49;11.22;
37;WR9;A.J. Brown;TEN;7;159.52;184.99;39;41.76;15.90;9.97;23;2;9.07;9.61;11.66;9.56;8.94;10.84;0.00;9.81;8.37;10.43;10.04;10.43;9.72;9.61;12.30;9.65;10.84;
22;WR5;Kenny Golladay;DET;5;171.68;199.20;26;53.92;15.80;10.73;26;3;8.86;10.21;11.06;11.17;0.00;10.17;10.43;11.03;12.34;10.73;11.05;11.47;8.86;10.21;11.05;12.98;12.34;
39;WR11;Odell Beckham;CLE;9;158.21;182.05;40;40.45;15.50;9.81;27;1;9.57;9.36;9.67;8.71;9.95;9.12;9.36;10.26;0.00;10.34;10.45;9.16;9.96;9.57;11.18;11.10;9.12;
46;WR14;Calvin Ridley;ATL;10;152.48;176.93;43;34.72;15.80;9.53;25;1;9.51;8.55;7.84;9.04;9.79;10.93;11.52;9.79;8.50;0.00;9.89;10.08;9.89;8.39;11.50;8.27;11.50;
43;WR12;Allen Robinson;CHI;11;153.44;178.02;38;35.68;15.80;9.59;26;2;10.86;10.35;8.71;9.21;10.83;9.22;8.68;9.32;9.22;10.30;0.00;8.52;10.86;9.57;10.30;8.48;8.52;
16;WR4;Julio Jones;ATL;10;178.85;206.02;15;61.09;15.50;11.10;31;1;11.08;9.96;9.14;10.53;11.41;12.73;13.43;11.41;9.90;0.00;11.53;11.74;11.53;9.77;13.40;9.63;13.40;LASTCHANCE
51;WR17;DK Metcalf;SEA;6;147.52;171.20;53;29.76;15.80;9.22;22;2;8.88;7.14;8.22;11.32;10.51;0.00;9.42;8.19;8.05;8.86;9.42;9.87;10.56;10.48;9.13;8.86;8.19;
55;WR19;Courtland Sutton;DEN;8;145.28;168.45;60;27.52;15.80;9.08;24;2;9.49;8.68;11.14;10.57;7.20;11.41;8.02;0.00;8.96;9.77;8.13;9.59;8.02;9.49;8.12;8.13;9.77;
49;WR16;Cooper Kupp;LAR;9;149.92;173.86;37;32.16;15.80;9.37;27;3;8.44;10.13;8.27;10.83;9.37;8.41;7.74;11.62;0.00;9.38;11.34;8.41;9.67;7.33;10.76;9.38;9.67;
68;WR28;Keenan Allen;LAC;10;135.82;154.21;57;18.06;15.10;8.31;28;3;8.07;7.26;8.60;10.10;8.69;9.58;10.34;7.91;8.85;0.00;7.46;7.36;6.52;8.12;8.85;7.46;7.26;
