"Rank","Pos","Player","Team","Bye","Pts","Upside","ADP","VBD","Games","Pts/G","Age","Drafted","Wk 1","Wk 2","Wk 3","Wk 4","Wk 5","Wk 6","Wk 7","Wk 8","Wk 9","Wk 10","Wk 11","Wk 12","Wk 13","Wk 14","Wk 15","Wk 16","Wk 17","Notes"
"1","RB1","Saquon Barkley","NYG","11","323.58","373.66","1","189.17","15.65","20.13","22","1","18.67","22.03","20.86","20.09","18.29","21.07","23.12","20.35","18.67","19.42","0.00","15.92","19.94","20.99","23.60","20.09","20.99",""
"2","RB2","Alvin Kamara","NO","9","300.70","347.07","2","166.26","15.65","18.70","24","3","17.39","17.79","19.60","17.74","19.82","16.27","15.12","21.96","0.00","22.42","19.82","16.44","22.42","19.77","20.11","14.88","16.44",""
"3","RB3","Christian McCaffrey","CAR","7","295.58","341.18","3","161.13","15.65","18.38","23","1","17.20","19.16","21.23","16.81","15.73","19.16","0.00","19.11","14.38","18.32","21.67","15.52","18.46","21.67","18.95","19.44","15.52",""
"4","RB4","Ezekiel Elliott","DAL","8","261.96","296.80","4","127.41","14.45","15.99","24","1","18.60","15.84","18.60","13.32","15.72","15.31","16.54","0.00","18.60","14.41","16.04","16.61","17.36","12.55","14.76","16.54","15.84",""
"5","RB5","David Johnson","ARI","12","249.97","286.59","6","115.43","15.30","15.44","27","3","15.72","11.95","13.36","15.93","18.38","18.22","18.22","13.05","16.07","16.11","16.07","0.00","14.46","12.74","16.27","15.93","14.46",""
"6","RB6","Nick Chubb","CLE","7","240.37","275.46","14","105.81","15.30","14.84","23","2","11.98","14.86","14.33","11.84","15.92","15.78","0.00","16.12","14.82","16.86","12.62","18.05","12.62","18.20","17.69","11.84","18.20",""
"7","WR1","Tyreek Hill","KC","12","251.34","287.07","12","113.76","15.30","15.47","25","5","13.04","15.26","11.73","15.78","14.96","18.09","16.17","18.00","13.14","18.30","14.32","0.00","15.26","16.85","16.17","15.86","14.32",""
"8","RB7","Joe Mixon","CIN","9","234.24","267.58","17","99.67","15.15","14.42","23","2","15.40","15.54","16.45","12.32","17.27","11.56","12.79","13.99","0.00","11.56","14.34","12.32","14.50","15.73","15.74","17.62","15.73",""
"9","WR2","DeAndre Hopkins","HOU","10","250.24","290.18","5","112.70","16.00","15.64","27","1","18.72","13.05","14.32","16.80","16.37","17.60","14.96","15.27","13.05","0.00","11.74","14.96","16.86","16.17","18.30","17.32","18.30",""
"10","RB8","James Conner","PIT","7","233.33","265.09","10","98.75","14.80","14.28","24","3","14.31","14.01","14.13","16.16","10.51","14.15","0.00","16.03","14.37","12.72","14.31","16.16","14.31","15.70","14.96","13.19","10.51",""
"11","RB9","Todd Gurley","LAR","9","230.32","259.39","13","95.71","14.30","13.98","25","1","12.30","12.02","14.98","14.83","14.67","14.79","16.78","16.92","0.00","11.73","11.32","11.00","16.44","14.67","13.28","14.79","16.44",""
"12","WR3","Julio Jones","ATL","9","239.82","273.76","9","102.22","15.30","14.75","30","1","11.71","16.98","13.33","16.30","16.12","13.43","15.08","14.29","0.00","16.68","14.96","15.43","16.68","14.96","14.60","11.62","15.43",""
"13","WR4","Davante Adams","GB","11","239.50","273.44","8","101.90","15.30","14.73","26","2","14.95","12.38","15.24","17.96","13.45","14.87","14.38","16.58","13.49","15.83","0.00","15.45","14.40","15.51","14.95","12.38","14.87",""
"14","WR5","Odell Beckham","CLE","7","238.73","268.80","15","101.09","14.65","14.48","26","1","16.64","18.45","15.39","10.67","14.91","14.59","0.00","15.33","14.70","12.56","15.65","15.04","15.65","14.12","13.71","10.67","14.12",""
"15","RB10","Dalvin Cook","MIN","12","227.25","257.98","19","92.66","14.80","13.90","24","2","16.09","13.60","13.09","10.85","16.09","14.31","13.87","13.70","16.14","12.73","13.20","0.00","14.06","13.87","14.20","13.60","10.85",""
"16","RB11","LeVeon Bell","NYJ","4","227.01","258.30","7","92.42","14.95","13.92","27","2","14.99","14.34","14.34","0.00","14.29","12.71","14.34","11.66","16.06","16.06","13.68","13.07","16.20","16.06","10.53","11.23","14.99",""
"17","TE1","Travis Kelce","KC","12","225.21","257.06","16","100.56","15.30","13.85","29","3","11.69","15.82","14.28","14.30","17.75","17.80","13.82","12.76","11.90","9.57","10.44","0.00","15.82","15.02","13.82","13.73","10.44",""
"18","WR6","JuJu Smith-Schuster","PIT","7","232.80","270.05","18","95.23","16.00","14.55","22","2","15.77","15.01","15.33","14.52","10.98","13.39","0.00","15.47","13.99","15.84","14.14","14.52","14.14","14.10","12.92","18.97","10.98",""
"19","WR7","Michael Thomas","NO","9","231.68","268.80","11","94.11","16.00","14.48","26","2","16.23","15.18","14.39","12.80","15.53","11.70","14.23","13.52","0.00","14.68","15.53","15.06","14.68","14.70","13.42","16.41","15.06",""
"20","RB12","Kerryon Johnson","DET","5","208.21","238.18","23","73.60","15.30","12.83","22","2","14.95","13.47","13.57","15.31","0.00","12.90","11.82","15.26","12.42","10.29","12.07","12.99","10.29","11.82","13.49","12.53","12.90",""
"21","RB13","Sony Michel","NE","10","204.29","230.62","45","69.65","14.65","12.43","24","1","10.00","14.31","11.77","13.36","12.18","14.31","11.77","12.77","9.38","0.00","12.73","11.32","11.09","14.35","14.43","13.36","14.31",""
"22","WR8","Mike Evans","TB","7","214.38","244.22","21","76.74","15.30","13.16","26","1","13.14","13.46","12.24","13.57","15.00","13.46","0.00","14.66","12.86","12.08","15.00","13.12","10.45","11.99","12.65","14.50","13.12",""
"23","WR9","Tyler Lockett","SEA","11","213.76","247.94","44","76.16","16.00","13.36","26","3","12.94","14.35","15.61","12.56","14.11","12.60","9.78","13.64","14.44","13.66","0.00","15.89","10.95","14.11","14.00","12.56","13.66",""
"24","RB14","Leonard Fournette","JAX","10","203.33","229.54","24","68.68","14.65","12.37","24","1","15.00","11.59","9.92","12.27","10.96","10.71","15.07","12.30","11.59","0.00","13.41","9.92","13.22","13.20","12.16","14.95","13.41",""
"25","RB15","Derrick Henry","TEN","11","203.09","232.16","36","68.47","15.30","12.51","25","2","13.24","13.30","10.76","14.83","13.84","12.17","13.09","13.11","10.87","14.87","0.00","10.76","13.30","12.07","11.50","10.62","11.50",""
"26","WR10","Antonio Brown","OAK","6","207.21","232.16","22","69.52","14.65","12.51","31","6","12.53","13.64","10.18","11.59","12.30","0.00","13.95","14.02","12.23","11.10","12.03","15.72","13.64","14.18","10.11","11.10","12.53",""
"27","RB16","Chris Carson","SEA","11","198.13","224.26","39","63.49","14.80","12.08","24","7","14.47","10.03","10.28","14.06","11.39","12.81","9.41","14.35","12.69","12.65","0.00","12.76","11.12","11.39","10.52","14.06","12.65",""
"28","RB17","Aaron Jones","GB","11","197.25","223.81","32","62.61","14.95","12.06","24","5","9.86","11.32","11.99","13.00","11.56","12.60","11.89","14.66","12.90","10.71","0.00","12.88","14.61","12.44","9.86","11.32","12.60",""
"29","RB18","Damien Williams","KC","12","196.13","221.18","28","61.47","14.65","11.92","27","u","10.93","12.25","9.88","12.99","13.51","11.68","12.36","12.73","11.67","9.99","13.30","0.00","12.25","13.45","12.36","10.16","13.30",""
"30","WR11","Keenan Allen","LAC","12","201.53","226.43","26","63.84","14.80","12.20","27","3","11.39","12.01","13.77","12.59","12.31","13.10","13.93","12.08","13.70","11.62","13.39","0.00","12.31","9.93","10.00","11.62","13.39","INJ"
"31","RB19","Devonta Freeman","ATL","9","194.40","221.47","29","59.77","15.15","11.93","27","4","11.57","13.28","13.38","9.90","11.57","14.62","11.84","13.05","0.00","10.69","10.94","13.20","10.69","10.94","13.16","10.83","13.20",""
"32","TE2","Zach Ertz","PHI","10","183.77","208.96","27","59.05","15.30","11.26","28","2","9.89","10.16","13.30","11.86","10.95","11.06","11.81","8.98","12.76","0.00","13.96","9.80","13.65","9.64","9.89","11.81","9.64",""
