"Name","Team","Consensus","Andy","Jason","Mike"
"Saquon Barkley","NYG","1","1","1","2"
"Christian McCaffrey","CAR","2","3","3","1"
"Alvin Kamara","NO","3","2","2","3"
"Ezekiel Elliott","DAL","4","4","4","4"
"David Johnson","ARI","5","6","7","6"
"James Conner","PIT","6","10","5","5"
"Todd Gurley","LAR","7","7","8","7"
"Le'Veon Bell","NYJ","8","9","6","8"
"Dalvin Cook","MIN","9","5","9","11"
"Nick Chubb","CLE","10","8","12","10"
"Joe Mixon","CIN","11","12","10","12"
"Devonta Freeman","ATL","12","13","15","9"
"Kerryon Johnson","DET","13","18","11","13"
"Chris Carson","SEA","14","15","13","14"
"Josh Jacobs","OAK","15","11","16","18"
"Aaron Jones","GB","16","14","17","17"
"Leonard Fournette","JAX","17","19","14","16"
"Sony Michel","NE","18","17","18","15"
"Derrick Henry","TEN","19","16","19","20"
"David Montgomery","CHI","20","21","20","23"
"Miles Sanders","PHI","21","23","25","22"
"Damien Williams","KC","22","24","29","19"
"Tevin Coleman","SF","23","20","34","21"
"Phillip Lindsay","DEN","24","29","22","24"
"Kenyan Drake","MIA","25","31","21","29"
"Marlon Mack","IND","26","27","30","25"
"Melvin Gordon","LAC","27","22","35","26"
"Mark Ingram","BAL","28","25","31","28"
"Duke Johnson","HOU","29","30","27","27"
"Tarik Cohen","CHI","30","28","24","33"
"Devin Singletary","BUF","31","37","23","30"
"James White","NE","32","26","26","38"
"Rashaad Penny","SEA","33","33","28","34"
"Austin Ekeler","LAC","34","32","37","32"
"Latavius Murray","NO","35","39","36","31"
"Kalen Ballage","MIA","36","34","41","36"
"Matt Breida","SF","37","36","33","43"
"Royce Freeman","DEN","38","35","38","39"
"Peyton Barber","TB","39","40","39","35"
"Adrian Peterson","WAS","40","38","43","45"
"Tony Pollard","DAL","41","43","32","53"
"Darrell Henderson","LAR","42","42","51","42"
"Derrius Guice","WAS","43","41","54","41"
"Dion Lewis","TEN","44","46","53","37"
"Nyheim Hines","IND","45","47","45","44"
"Jordan Howard","PHI","46","45","42","51"
"Kareem Hunt","CLE","47","44","46","55"
"Chris Thompson","WAS","48","48","52","50"
"Jamaal Williams","GB","49","49","55","47"
"CJ Anderson","DET","50","60","44","49"
"Damien Harris","NE","51","67","47","40"
"Alexander Mattison","MIN","52","51","48","57"
"LeSean McCoy","KC","53","56","40","64"
"Frank Gore","BUF","54","52","57","54"
"Justin Jackson","LAC","55","53","49","63"
"Ito Smith","ATL","56","54","66","48"
"Jalen Richard","OAK","57","61","56","52"
"Giovani Bernard","CIN","58","55","60","61"
"Carlos Hyde","HOU","59","69","50","59"
"Darwin Thompson","KC","60","50","59","71"
"Jaylen Samuels","PIT","61","68","68","46"
"Ronald Jones II","TB","62","59","58","66"
"Malcolm Brown","LAR","63","62","64","60"
"Mike Davis","CHI","64","57","63","67"
"Justice Hill","BAL","65","65","65","62"
"Gus Edwards","BAL","66","66","71","58"
"Alfred Blue","JAX","67","76","69","56"
"Benny Snell Jr.","PIT","68","58","72","74"
"Jerick McKinnon","SF","69","63","77","65"
"Chase Edmonds","ARI","70","71","67","68"
"Qadree Ollison","ATL","71","74","62","73"
"Kenneth Dixon","BAL","72","77","61","72"
"Theo Riddick","DEN","73","70","70","70"
"Devontae Booker","DEN","74","72","79","69"
"Elijah McGuire","NYJ","75","73","73","75"
"Lamar Miller","HOU","76","64","78","79"
"Ryquell Armstead","JAX","77","75","74","76"
"Bryce Love","WAS","78","78","75","77"
"Myles Gaskin","MIA","79","79","76","78"
"Doug Martin","OAK","80","80","80","80"
