"Name","Team","Consensus","Andy","Jason","Mike"
"Davante Adams","GB","1","3","1","1"
"DeAndre Hopkins","HOU","2","1","2","3"
"Julio Jones","ATL","3","2","3","2"
"Tyreek Hill","KC","4","4","6","4"
"JuJu Smith-Schuster","PIT","5","5","4","6"
"Odell Beckham Jr","CLE","6","7","5","5"
"Michael Thomas","NO","7","6","7","7"
"Mike Evans","TB","8","9","8","8"
"Antonio Brown","OAK","9","10","9","9"
"Robert Woods","LAR","10","12","11","11"
"Adam Thielen","MIN","11","14","10","10"
"Keenan Allen","LAC","12","8","14","13"
"Stefon Diggs","MIN","13","15","12","14"
"Brandin Cooks","LAR","14","11","15","16"
"Amari Cooper","DAL","15","13","17","15"
"Julian Edelman","NE","16","19","16","12"
"Tyler Lockett","SEA","17","18","13","21"
"Kenny Golladay","DET","18","22","21","20"
"Chris Godwin","TB","19","21","20","22"
"Cooper Kupp","LAR","20","27","19","18"
"Robby Anderson","NYJ","21","26","22","17"
"Tyler Boyd","CIN","22","20","24","23"
"T.Y. Hilton","IND","23","17","27","28"
"Alshon Jeffery","PHI","24","28","25","19"
"D.J. Moore","CAR","25","24","18","30"
"Mike Williams","LAC","26","16","29","31"
"Calvin Ridley","ATL","27","25","26","25"
"Marvin Jones","DET","28","29","33","24"
"Dede Westbrook","JAX","29","35","23","34"
"AJ Green","CIN","30","30","32","32"
"Jarvis Landry","CLE","31","23","35","36"
"Sterling Shepard","NYG","32","38","28","29"
"Allen Robinson","CHI","33","36","38","26"
"Dante Pettis","SF","34","43","30","27"
"Will Fuller","HOU","35","34","36","37"
"Christian Kirk","ARI","36","31","43","38"
"Curtis Samuel","CAR","37","37","37","44"
"Geronimo Allison","GB","38","42","45","33"
"Sammy Watkins","KC","39","55","31","35"
"Josh Gordon","NE","40","40","44","40"
"Emmanuel Sanders","DEN","41","46","34","47"
"Larry Fitzgerald","ARI","42","41","41","45"
"DeSean Jackson","PHI","43","32","53","42"
"Anthony Miller","CHI","44","47","49","39"
"Marquez Valdes-Scantling","GB","45","33","42","62"
"Corey Davis","TEN","46","45","40","53"
"Donte Moncrief","PIT","47","51","55","41"
"Mohamed Sanu","ATL","48","39","54","54"
"Courtland Sutton","DEN","49","61","39","48"
"Michael Gallup","DAL","50","44","46","58"
"Albert Wilson","MIA","51","49","47","59"
"Keke Coutee","HOU","52","48","58","51"
"Tyrell Williams","OAK","53","52","56","50"
"Cole Beasley","BUF","54","64","52","46"
"Jamison Crowder","NYJ","55","53","51","60"
"John Brown","BUF","56","62","48","55"
"Paul Richardson","WAS","57","63","60","52"
"Golden Tate","NYG","58","65","50","61"
"D.K. Metcalf","SEA","59","50","66","65"
"A.J. Brown","TEN","60","66","62","63"
"Quincy Enunwa","NYJ","61","56","57","79"
"Adam Humphries","TEN","62","60","65","75"
"Robert Foster","BUF","63","59","85","56"
"Daesean Hamilton","DEN","64","74","61","66"
"Kenny Stills","HOU","65","70","90","43"
"Danny Amendola","DET","66","54","79","72"
"Marqise Lee","JAX","67","71","64","70"
"Nelson Agholor","PHI","68","68","73","74"
"Tre'Quan Smith","NO","69","81","59","76"
"Ted Ginn","NO","70","75","92","49"
"Zay Jones","BUF","71","57","76","90"
"Randall Cobb","DAL","72","82","71","71"
"Antonio Callaway","CLE","73","87","77","64"
"Taylor Gabriel","CHI","74","73","84","73"
"Devante Parker","MIA","75","93","70","68"
"Willie Snead","BAL","76","78","74","80"
"Marquise Brown","BAL","77","69","89","78"
"Marquise Goodwin","SF","78","80","75","81"
"Chris Conley","JAX","79","67","88","83"
"Devin Funchess","IND","80","91","82","69"
"John Ross","CIN","81","86","68","89"
"Travis Benjamin","LAC","82","88","91","67"
"N'Keal Harry","NE","83","92","101","57"
"Parris Campbell","IND","84","95","78","77"
"Breshad Perriman","TB","85","58","104","88"
"Deebo Samuel","SF","86","79","81","94"
"James Washington","PIT","87","89","72","93"
"Mecole Hardman","KC","88","72","97","86"
"JJ Arcega-Whiteside","PHI","89","83","86","92"
"Andy Isabella","ARI","90","76","98","87"
"Terry McLaurin","WAS","91","85","99","84"
"Miles Boykin","BAL","92","102","67","99"
"Josh Doctson","WAS","93","106","63","100"
"Trent Taylor","SF","94","99","93","82"
"Keelan Cole","JAX","95","105","69","101"
"Diontae Johnson","PIT","96","77","103","95"
"Phillip Dorsett","NE","97","101","83","91"
"David Moore","SEA","98","104","87","85"
"Jalen Hurd","SF","99","97","80","102"
"Rashard Higgins","CLE","100","84","95","104"
"Chris Hogan","CAR","101","94","100","96"
"Taywan Taylor","CLE","102","98","94","103"
"Tim Patrick","DEN","103","100","102","97"
"Equanimeous St. Brown","GB","104","96","106","98"
"Hakeem Butler","ARI","105","90","105","106"
"Michael Crabtree","ARI","106","107","96","105"
"Kelvin Harmon","WAS","107","103","107","107"
