"Rank","Pos","Player","Team","Bye","Pts","Upside","ADP","VBD","Games","Pts/G","Age","Drafted","Wk 1","Wk 2","Wk 3","Wk 4","Wk 5","Wk 6","Wk 7","Wk 8","Wk 9","Wk 10","Wk 11","Wk 12","Wk 13","Wk 14","Wk 15","Wk 16","Wk 17","Notes"
"1","RB1","Saquon Barkley","NYG","11","368.02","424.42","1","212.08","15.65","22.87","22","1","21.21","25.03","23.71","22.83","20.78","23.94","26.27","23.12","21.21","22.06","0.00","18.09","22.66","23.85","26.81","22.83","23.85",""
"2","RB2","Christian McCaffrey","CAR","7","346.58","399.65","3","190.64","15.65","21.53","23","1","20.15","22.45","24.87","19.69","18.42","22.45","0.00","22.38","16.85","21.46","25.39","18.18","21.62","25.39","22.19","22.77","18.18",""
"3","RB3","Alvin Kamara","NO","9","340.50","392.54","2","184.56","15.65","21.15","24","3","19.67","20.13","22.17","20.07","22.43","18.41","17.11","24.85","0.00","25.36","22.43","18.59","25.36","22.36","22.75","16.83","18.59",""
"4","WR1","DeAndre Hopkins","HOU","10","301.92","350.18","5","135.90","16.00","18.87","27","1","22.60","15.74","17.28","20.27","19.75","21.23","18.05","18.42","15.74","0.00","14.16","18.05","20.34","19.51","22.08","20.90","22.08","LASTCHANCE"
"5","WR2","Davante Adams","GB","11","290.35","331.30","7","124.32","15.30","17.85","26","2","18.12","15.01","18.47","21.77","16.30","18.03","17.43","20.09","16.35","19.18","0.00","18.72","17.45","18.79","18.12","15.01","18.03","LASTCHANCE"
"6","WR3","Julio Jones","ATL","9","288.75","329.44","8","122.72","15.30","17.75","30","1","14.08","20.43","16.03","19.61","19.39","16.15","18.14","17.19","0.00","20.06","18.00","18.56","20.06","18.00","17.56","13.98","18.56","LASTCHANCE"
"7","WR4","Tyreek Hill","KC","12","287.63","328.19","11","121.60","15.30","17.68","25","5","14.91","17.44","13.41","18.04","17.10","20.68","18.48","20.57","15.02","20.91","16.36","0.00","17.44","19.26","18.48","18.13","16.36","LASTCHANCE"
"8","RB4","Ezekiel Elliott","DAL","8","294.03","331.01","4","138.08","14.45","17.84","24","1","20.75","17.67","20.75","14.86","17.53","17.07","18.45","0.00","20.75","16.08","17.89","18.52","19.37","13.99","16.46","18.45","17.67","LASTCHANCE"
"9","WR5","Michael Thomas","NO","9","285.44","331.14","9","119.42","16.00","17.84","26","2","19.99","18.70","17.72","15.77","19.14","14.41","17.53","16.65","0.00","18.08","19.14","18.56","18.08","18.11","16.53","20.22","18.56","LASTCHANCE"
"10","WR6","JuJu Smith-Schuster","PIT","7","284.64","330.21","14","118.62","16.00","17.79","22","2","19.28","18.35","18.75","17.75","13.42","16.37","0.00","18.91","17.11","19.36","17.29","17.75","17.29","17.24","15.80","23.20","13.42","LASTCHANCE"
