"Name","Team","Consensus","Andy","Jason","Mike"
"Greg Zuerlein","LAR","1","1","1","1"
"Harrison Butker","KC","2","3","2","2"
"Wil Lutz","NO","3","2","3","3"
"Justin Tucker","BAL","4","5","4","4"
"Adam Vinatieri","IND","5","4","5","6"
"Stephen Gostkowski","NE","6","8","6","5"
"Ka'imi Fairbairn","HOU","7","7","7","8"
"Jake Elliott","PHI","8","10","9","7"
"Robbie Gould","SF","9","6","8","13"
"Mason Crosby","GB","10","9","11","10"
"Michael Badgley","LAC","11","11","10","9"
"Dan Bailey","MIN","12","12","15","12"
"Brett Maher","DAL","13","14","12","14"
"Joey Slye","CAR","14","15","14","20"
"Jason Myers","SEA","15","17","16","16"
"Chris Boswell","PIT","16","18","17","15"
"Dustin Hopkins","WAS","17","19","22","17"
"Josh Lambo","JAX","18","22","19","18"
"Ryan Succop","TEN","19","16","18","29"
"Aldrick Rosas","NYG","20","21","20","22"
"Matt Prater","DET","21","23","21","21"
"Brandon McManus","DEN","22","20","23","23"
"Eddy Pineiro","CHI","23","26","29","19"
"Jason Sanders","MIA","24","24","26","26"
"Randy Bullock","CIN","25","25","25","27"
"Steven Hauschka","BUF","26","29","24","24"
"Greg Joseph","CLE","27","27","27","25"
"Zane Gonzalez","ARI","28","28","28","28"
"Chris Blewitt","CHI","29","30","30","32"
"Matt Gay","TB","30","31","32","30"
"Cairo Santos","TB","31","34","31","33"
"Daniel Carlson","OAK","32","32","33","34"
