"Name","Team","Consensus","Andy","Jason","Mike"
"Patrick Mahomes","KC","1","1","1","1"
"Deshaun Watson","HOU","2","2","2","2"
"Aaron Rodgers","GB","3","4","3","3"
"Cam Newton","CAR","4","6","4","4"
"Lamar Jackson","BAL","5","9","6","6"
"Josh Allen","BUF","6","7","5","10"
"Carson Wentz","PHI","7","3","7","15"
"Matt Ryan","ATL","8","5","16","5"
"Jared Goff","LAR","9","11","8","9"
"Baker Mayfield","CLE","10","13","9","8"
"Kyler Murray","ARI","11","10","13","7"
"Russell Wilson","SEA","12","8","12","14"
"Drew Brees","NO","13","14","11","11"
"Jameis Winston","TB","14","17","10","12"
"Dak Prescott","DAL","15","15","15","13"
"Tom Brady","NE","16","16","17","16"
"Ben Roethlisberger","PIT","17","12","20","17"
"Mitch Trubisky","CHI","18","18","14","20"
"Philip Rivers","LAC","19","19","19","21"
"Kirk Cousins","MIN","20","22","21","18"
"Jacoby Brissett","IND","21","20","18","26"
"Jimmy Garoppolo","SF","22","21","22","23"
"Matthew Stafford","DET","23","23","26","19"
"Derek Carr","OAK","24","26","24","22"
"Andy Dalton","CIN","25","25","23","25"
"Sam Darnold","NYJ","26","27","27","24"
"Nick Foles","JAX","27","24","29","28"
"Marcus Mariota","TEN","28","32","25","29"
"Eli Manning","NYG","29","28","28","30"
"Joe Flacco","DEN","30","30","30","27"
"Ryan Fitzpatrick","MIA","31","29","32","33"
"Case Keenum","WAS","32","31","34","32"
"Dwayne Haskins","WAS","33","33","31","34"
"Josh Rosen","MIA","34","34","33","31"
"Andrew Luck","IND","35","35","35","35"
