"Name","Team","Consensus","Andy","Jason","Mike"
"Saquon Barkley","NYG","1","1","1","2"
"Christian McCaffrey","CAR","2","3","3","1"
"Alvin Kamara","NO","3","2","2","3"
"Ezekiel Elliott","DAL","4","4","4","4"
"Le'Veon Bell","NYJ","5","7","5","7"
"David Johnson","ARI","6","6","9","5"
"James Conner","PIT","7","8","7","6"
"Dalvin Cook","MIN","8","5","6","11"
"Todd Gurley","LAR","9","9","8","8"
"Nick Chubb","CLE","10","10","12","14"
"Joe Mixon","CIN","11","13","11","13"
"Damien Williams","KC","12","15","13","9"
"Devonta Freeman","ATL","13","12","16","10"
"Kerryon Johnson","DET","14","16","10","12"
"Josh Jacobs","OAK","15","11","14","18"
"Aaron Jones","GB","16","14","17","17"
"Leonard Fournette","JAX","17","18","15","16"
"Chris Carson","SEA","18","17","18","15"
"Sony Michel","NE","19","21","19","19"
"Derrick Henry","TEN","20","19","22","23"
"David Montgomery","CHI","21","22","25","24"
"Tevin Coleman","SF","22","20","32","20"
"Miles Sanders","PHI","23","25","27","21"
"Tarik Cohen","CHI","24","26","21","29"
"Phillip Lindsay","DEN","25","31","24","22"
"Melvin Gordon","LAC","26","23","29","25"
"Kenyan Drake","MIA","27","30","20","28"
"Duke Johnson","HOU","28","29","26","26"
"James White","NE","29","24","23","36"
"Marlon Mack","IND","30","28","30","27"
"Mark Ingram","BAL","31","27","31","32"
"Rashaad Penny","SEA","32","33","28","35"
"Austin Ekeler","LAC","33","32","34","31"
"Latavius Murray","NO","34","38","35","33"
"Kalen Ballage","MIA","35","34","37","38"
"Peyton Barber","TB","36","41","39","30"
"Matt Breida","SF","37","35","33","44"
"Royce Freeman","DEN","38","36","41","40"
"LeSean McCoy","BUF","39","47","36","37"
"Dion Lewis","TEN","40","37","52","34"
"Nyheim Hines","IND","41","45","40","41"
"Adrian Peterson","WAS","42","43","45","46"
"Darrell Henderson","LAR","43","42","51","43"
"Derrius Guice","WAS","44","40","56","42"
"Chris Thompson","WAS","45","44","47","49"
"Tony Pollard","DAL","46","46","42","52"
"Jordan Howard","PHI","47","49","43","55"
"Kareem Hunt","CLE","48","48","46","54"
"Darwin Thompson","KC","49","39","38","72"
"Damien Harris","NE","50","68","44","39"
"Jamaal Williams","GB","51","50","55","47"
"Alexander Mattison","MIN","52","51","50","56"
"Jalen Richard","OAK","53","57","53","48"
"CJ Anderson","DET","54","60","48","51"
"Giovani Bernard","CIN","55","52","58","53"
"Justin Jackson","LAC","56","55","49","64"
"Ito Smith","ATL","57","53","67","50"
"Jaylen Samuels","PIT","58","67","61","45"
"Devin Singletary","BUF","59","59","54","63"
"Ronald Jones II","TB","60","58","57","67"
"Mike Davis","CHI","61","54","64","68"
"Jerick McKinnon","SF","62","61","60","66"
"Frank Gore","BUF","63","71","59","58"
"Justice Hill","BAL","64","63","66","59"
"Malcolm Brown","LAR","65","62","69","61"
"Carlos Hyde","KC","66","70","70","60"
"Theo Riddick","DEN","67","65","65","71"
"Gus Edwards","BAL","68","69","72","62"
"Benny Snell Jr.","PIT","69","56","73","75"
"Alfred Blue","JAX","70","77","71","57"
"Chase Edmonds","ARI","71","72","68","70"
"Qadree Ollison","ATL","72","75","63","74"
"Kenneth Dixon","BAL","73","78","62","73"
"Doug Martin","OAK","74","66","79","69"
"Devontae Booker","DEN","75","73","80","65"
"Lamar Miller","HOU","76","64","78","80"
"Elijah McGuire","NYJ","77","74","74","76"
"Ryquell Armstead","JAX","78","76","75","77"
"Bryce Love","WAS","79","79","76","78"
"Myles Gaskin","MIA","80","80","77","79"
