"Name","Team","Consensus","Andy","Jason","Mike"
"Travis Kelce","KC","1","1","1","1"
"Zach Ertz","PHI","2","2","3","2"
"George Kittle","SF","3","3","2","3"
"Evan Engram","NYG","4","4","4","4"
"OJ Howard","TB","5","5","5","5"
"Vance McDonald","PIT","6","8","6","7"
"Hunter Henry","LAC","7","7","8","6"
"Jared Cook","NO","8","6","11","8"
"David Njoku","CLE","9","11","7","10"
"Austin Hooper","ATL","10","10","13","14"
"Trey Burton","CHI","11","14","10","13"
"Jordan Reed","WAS","12","12","17","9"
"Delanie Walker","TEN","13","13","14","12"
"Eric Ebron","IND","14","9","16","15"
"Mark Andrews","BAL","15","17","9","16"
"Kyle Rudolph","MIN","16","16","12","18"
"Jack Doyle","IND","17","20","20","11"
"Tyler Eifert","CIN","18","15","21","19"
"Greg Olsen","CAR","19","22","15","20"
"T.J. Hockenson","DET","20","18","30","21"
"Jimmy Graham","GB","21","21","22","26"
"Noah Fant","DEN","22","25","28","17"
"Chris Herndon IV","NYJ","23","23","26","22"
"Dallas Goedert","PHI","24","29","18","25"
"Jason Witten","DAL","25","31","19","23"
"Darren Waller","OAK","26","19","24","32"
"Gerald Everett","LAR","27","24","32","24"
"Benjamin Watson","NE","28","30","23","33"
"Hayden Hurst","BAL","29","32","25","31"
"Cameron Brate","TB","30","27","33","28"
"Mike Gesicki","MIA","31","34","27","27"
"Will Dissly","SEA","32","26","29","35"
"Ricky Seals-Jones","ARI","33","35","31","29"
"CJ Uzomah","CIN","34","28","34","36"
"Ian Thomas","CAR","35","33","35","30"
"Luke Willson","OAK","36","36","36","34"
