"Name","Team","Consensus","Andy","Jason","Mike"
"Davante Adams","GB","1","2","1","1"
"DeAndre Hopkins","HOU","2","1","2","3"
"Julio Jones","ATL","3","3","3","2"
"JuJu Smith-Schuster","PIT","4","5","4","4"
"Michael Thomas","NO","5","6","5","5"
"Tyreek Hill","KC","6","4","7","7"
"Odell Beckham Jr","CLE","7","8","6","6"
"Antonio Brown","OAK","8","9","8","9"
"Keenan Allen","LAC","9","7","13","10"
"Adam Thielen","MIN","10","14","10","8"
"Mike Evans","TB","11","10","9","14"
"Robert Woods","LAR","12","12","11","13"
"Stefon Diggs","MIN","13","15","12","11"
"Julian Edelman","NE","14","16","14","12"
"Brandin Cooks","LAR","15","11","15","16"
"Amari Cooper","DAL","16","13","16","15"
"Chris Godwin","TB","17","18","20","21"
"Tyler Lockett","SEA","18","20","17","23"
"Tyler Boyd","CIN","19","19","23","19"
"Robby Anderson","NYJ","20","24","22","17"
"Kenny Golladay","DET","21","21","24","22"
"Cooper Kupp","LAR","22","26","21","20"
"Alshon Jeffery","PHI","23","28","25","18"
"T.Y. Hilton","IND","24","17","26","32"
"D.J. Moore","CAR","25","27","18","30"
"Calvin Ridley","ATL","26","25","27","26"
"Dede Westbrook","JAX","27","31","19","28"
"Marvin Jones","DET","28","29","31","25"
"Jarvis Landry","CLE","29","23","33","34"
"Mike Williams","LAC","30","22","35","36"
"AJ Green","CIN","31","30","34","33"
"Dante Pettis","SF","32","45","30","24"
"Allen Robinson","CHI","33","36","36","27"
"Christian Kirk","ARI","34","32","42","37"
"Emmanuel Sanders","DEN","35","41","28","43"
"Sterling Shepard","NYG","36","46","29","38"
"Geronimo Allison","GB","37","40","44","29"
"Will Fuller","HOU","38","33","51","35"
"Sammy Watkins","KC","39","56","32","31"
"Larry Fitzgerald","ARI","40","38","37","45"
"Curtis Samuel","CAR","41","37","38","48"
"Keke Coutee","HOU","42","42","41","47"
"DeSean Jackson","PHI","43","35","57","41"
"Josh Gordon","NE","44","44","47","44"
"Anthony Miller","CHI","45","48","48","40"
"Marquez Valdes-Scantling","GB","46","34","45","59"
"Corey Davis","TEN","47","47","40","54"
"Michael Gallup","DAL","48","43","46","57"
"Cole Beasley","BUF","49","59","49","39"
"Mohamed Sanu","ATL","50","39","55","53"
"Donte Moncrief","PIT","51","54","56","42"
"Courtland Sutton","DEN","52","64","39","51"
"Tyrell Williams","OAK","53","50","58","50"
"Kenny Stills","MIA","54","71","43","46"
"Jamison Crowder","NYJ","55","49","53","58"
"Golden Tate","NYG","56","60","50","56"
"Albert Wilson","MIA","57","53","54","62"
"John Brown","BUF","58","65","52","55"
"Paul Richardson","WAS","59","61","62","65"
"Adam Humphries","TEN","60","52","60","76"
"A.J. Brown","TEN","61","62","66","61"
"Daesean Hamilton","DEN","62","67","61","63"
"Quincy Enunwa","NYJ","63","55","59","80"
"Danny Amendola","DET","64","51","74","71"
"Marqise Lee","JAX","65","69","65","73"
"Randall Cobb","DAL","66","72","67","68"
"Robert Foster","BUF","67","63","86","64"
"D.K. Metcalf","SEA","68","57","89","67"
"Nelson Agholor","PHI","69","68","72","75"
"Ted Ginn","NO","70","78","92","49"
"Josh Doctson","WAS","71","104","64","52"
"Marquise Brown","BAL","72","73","68","81"
"Tre'Quan Smith","NO","73","82","63","78"
"Taylor Gabriel","CHI","74","70","84","72"
"Willie Snead","BAL","75","75","73","79"
"Antonio Callaway","CLE","76","86","76","66"
"Devante Parker","MIA","77","94","71","69"
"Chris Conley","JAX","78","66","87","84"
"Devin Funchess","IND","79","90","77","74"
"Andy Isabella","ARI","80","77","80","85"
"John Ross","CIN","81","85","70","89"
"Marquise Goodwin","SF","82","81","82","83"
"Travis Benjamin","LAC","83","87","91","70"
"Deebo Samuel","SF","84","76","79","94"
"Parris Campbell","IND","85","95","78","77"
"N'Keal Harry","NE","86","92","98","60"
"Breshad Perriman","TB","87","58","104","88"
"Zay Jones","BUF","88","89","75","90"
"JJ Arcega-Whiteside","PHI","89","84","88","92"
"James Washington","PIT","90","88","83","93"
"Mecole Hardman","KC","91","79","100","87"
"Trent Taylor","SF","92","97","90","82"
"Diontae Johnson","PIT","93","74","101","97"
"Terry McLaurin","WAS","94","80","96","98"
"Keelan Cole","JAX","95","106","69","101"
"Phillip Dorsett","NE","96","101","85","91"
"Rashard Higgins","CLE","97","83","95","104"
"Jalen Hurd","SF","98","99","81","102"
"David Moore","SEA","99","105","94","86"
"Chris Hogan","CAR","100","93","97","95"
"Taywan Taylor","TEN","101","98","93","103"
"Equanimeous St. Brown","GB","102","96","102","99"
"Tim Patrick","DEN","103","103","99","96"
"Hakeem Butler","ARI","104","91","105","105"
"Miles Boykin","BAL","105","100","103","100"
"Kelvin Harmon","WAS","106","102","106","106"
